341
1124
1;1;20;116.71
2;2;1;119.78
3;2;3;84.25
4;3;4;113.49
5;3;22;104.02
6;4;23;93.93
7;5;4;107.65
8;5;6;130.36
9;5;23;145.12
10;5;38;213.94
11;6;39;225.39
12;7;6;97.46
13;7;8;100.88
14;7;40;215.36
15;8;9;108.04
16;9;8;108.04
17;9;25;135.13
18;9;42;206.77
19;10;9;91.92
20;10;25;86.19
21;11;10;111.28
22;11;12;209.42
23;11;44;218.40
24;12;11;209.42
25;12;13;99.44
26;12;26;112.68
27;13;12;99.44
28;13;14;97.73
29;13;27;104.16
30;14;13;97.73
31;14;15;125.89
32;14;28;66.95
33;15;14;125.89
34;16;15;86.41
35;16;17;117.73
36;16;30;169.25
37;16;50;238.70
38;17;16;117.73
39;17;18;98.32
40;17;30;112.27
41;18;17;98.32
42;18;19;205.23
43;18;30;156.50
44;18;31;116.85
45;18;32;151.52
46;19;18;205.23
47;19;33;113.32
48;20;1;116.71
49;20;34;97.19
50;21;2;97.29
51;21;20;105.47
52;21;35;127.50
53;22;3;104.02
54;22;21;104.53
55;23;4;93.93
56;23;5;145.12
57;23;36;151.97
58;24;7;163.30
59;24;8;94.63
60;24;9;142.71
61;24;40;145.80
62;24;42;158.36
63;25;43;127.81
64;26;46;95.32
65;27;14;136.47
66;27;26;103.79
67;27;28;102.85
68;27;46;129.53
69;27;47;79.16
70;28;27;102.85
71;28;48;126.48
72;29;15;111.13
73;29;16;168.01
74;29;48;140.72
75;30;16;169.25
76;30;17;112.27
77;30;50;147.37
78;30;51;89.63
79;30;52;139.85
80;31;18;116.85
81;31;32;113.37
82;31;52;97.80
83;32;33;110.24
84;33;32;110.24
85;33;53;113.38
86;34;20;97.19
87;34;35;104.58
88;34;54;114.04
89;34;55;152.99
90;35;36;106.33
91;36;22;113.46
92;36;37;96.01
93;36;56;103.17
94;36;57;130.79
95;37;23;88.60
96;37;36;96.01
97;37;57;106.13
98;38;37;138.54
99;38;39;88.39
100;38;76;188.48
101;39;38;88.39
102;39;40;106.87
103;39;77;194.40
104;40;24;145.80
105;40;41;113.99
106;40;78;221.11
107;41;24;105.14
108;41;40;113.99
109;41;42;106.18
110;42;9;206.77
111;42;24;158.36
112;42;43;100.32
113;43;25;127.81
114;43;44;114.66
115;44;11;218.40
116;44;25;164.85
117;44;43;114.66
118;44;45;109.88
119;44;60;136.24
120;44;61;99.98
121;44;62;143.25
122;45;44;109.88
123;45;46;97.30
124;45;62;110.25
125;46;27;129.53
126;46;45;97.30
127;46;47;97.85
