0.0 1548.29 1279.02 1697.58 1274.07 1318.06 1550.21 920.7 1642.3 1002.96 1430.91 1368.61 1706.55 1799.23 1841.9 1679.64
1061.87 0.0 457.05 1243.13 1266.14 1031.59 1095.76 1243.31 1686.95 1842.86 1747.73 2298.3 2634.25 2430.06 2527.14 2607.33
871.28 703.02 0.0 1287.81 809.08 574.54 1140.44 786.26 1731.64 1385.81 1792.41 1929.35 2267.29 2474.75 2571.83 2240.38
1318.65 899.42 1356.46 0.0 2048.43 1903.78 147.37 1830.08 646.73 2169.14 1044.75 2433.3 2428.67 1727.09 2081.39 2401.75
893.41 1434.54 815.51 1964.19 0.0 474.45 1816.83 361.21 2226.68 952.16 2287.44 1841.55 2289.42 2659.65 2700.35 2262.51
795.92 960.08 341.06 1544.87 234.55 0.0 1397.5 343.44 1988.71 942.99 2049.48 1832.39 2191.93 2562.16 2602.87 2165.02
1171.28 968.87 1297.63 147.37 1960.22 1815.57 0.0 1741.87 726.58 2021.77 1116.04 2285.93 2281.3 1798.38 2090.62 2254.39
669.06 1362.87 743.83 1795.73 353.37 402.78 1648.36 0.0 2058.21 599.54 2094.48 1488.94 2065.07 2435.3 2476.01 2038.16
1377.18 1571.87 1752.14 750.37 2383.9 2239.25 603.0 2165.55 0.0 2227.67 696.42 2429.69 2137.08 1310.41 1563.09 2110.17
623.74 1567.17 1036.22 1992.11 814.23 858.22 1844.74 460.86 2254.59 0.0 1843.93 1219.69 1814.53 2184.76 2225.47 1787.62
940.08 1557.44 1697.42 1050.67 2151.31 2006.66 903.3 1813.8 612.3 1694.05 0.0 1804.89 1512.28 835.94 1108.26 1485.37
1193.38 2380.42 1849.47 2441.29 1627.48 1671.47 2293.92 1274.11 2294.38 949.89 1765.43 0.0 840.53 1747.0 1631.03 806.56
1028.69 2157.16 2043.49 2035.02 2022.22 2066.21 1887.65 1668.86 1733.29 1549.11 1204.34 791.4 0.0 1128.0 1012.01 194.61
1634.07 2361.84 2501.81 2007.73 2703.89 2747.88 1860.36 2350.52 1486.01 2230.77 957.06 1721.72 1033.25 0.0 500.2 1006.33
1704.81 2432.58 2572.56 2078.47 2774.63 2818.62 1931.1 2421.26 1556.75 2301.5 1027.8 1792.46 1103.99 208.77 0.0 1077.08
1223.3 2351.77 2238.1 2229.62 2216.83 2260.82 2082.25 1863.46 1927.9 1743.72 1398.95 938.9 194.61 1094.81 978.83 0.0
